Config,ALF Success Rate,ALF Energy per Success,ALF Peak Memory,DB Success Rate,DB Energy per Success,DB Peak Memory,OS Success Rate,OS Energy per Success,OS Peak Memory,WS Success Rate,WS Energy per Success,WS Peak Memory,Overall Success Rate,Overall Energy per Success,Overall Peak Memory
Ministral3 3B - 16-bit,0.0367,57138.29,16791.84,0.1117,52296.26,12550.53,0.0,,13863.47,0.5,11013.19,12504.66,0.1826,26568.6,13927.62
Ministral3 3B - 8-bit,0.0275,64726.16,9388.91,0.11,31843.55,9393.84,0.0,,9983.38,0.565,5840.04,9382.47,0.1979,15647.01,9537.15
Ministral3 3B - 4-bit,0.0092,163791.59,7986.59,0.06,84440.31,7972.12,0.0,,6492.69,0.795,2137.91,7980.03,0.2364,12936.42,7607.86
Ministral3 8B - 16-bit,0.0092,445498.93,22236.38,0.2167,23137.32,22196.16,0.1146,57915.23,20279.25,0.7825,5811.98,22186.41,0.3174,15637.48,21724.55
Ministral3 8B - 8-bit,0.0183,154393.24,15038.0,0.2383,15172.28,15008.06,0.1285,40419.8,16542.0,0.7925,3946.9,15035.81,0.3327,10817.18,15405.97
Ministral3 8B - 4-bit,0.0275,84997.26,11642.16,0.21,12325.73,16883.78,0.1424,31261.07,14064.81,0.8125,2890.99,11651.81,0.3307,8493.41,13560.64
Qwen3 4B - 16-bit,0.1514,275045.45,13856.22,0.4683,45441.07,18694.94,0.3646,104189.49,13828.31,0.77,37834.98,13838.31,0.4827,61106.94,15054.45
Qwen3 4B - 8-bit,0.1376,187454.44,10255.75,0.4717,33228.84,10239.0,0.375,63358.55,10229.38,0.7625,25267.99,10237.03,0.4821,40660.68,10240.29
Qwen3 4B - 4-bit,0.1743,114260.09,8553.31,0.4633,25865.5,8547.62,0.3681,54414.99,8565.34,0.7075,26917.16,8536.09,0.4681,35331.86,8550.59
Qwen3 8B - 16-bit,0.0275,88067.03,20638.97,0.31,8046.35,20631.47,0.2882,26643.2,20624.47,0.2425,21460.49,20645.28,0.247,16979.19,20635.05
Qwen3 8B - 8-bit,0.0275,67622.79,13865.59,0.305,5939.45,13862.25,0.2917,22040.37,17226.44,0.1975,18947.74,18733.44,0.2337,13692.97,15921.93
Qwen3 8B - 4-bit,0.0092,177490.66,23545.88,0.2983,5173.26,10634.91,0.2882,20988.22,10661.69,0.135,22930.34,10646.69,0.2112,13318.57,13872.29
