model,quant,energy_per_task,success_per_energy,tool_calls_per_success
Ministral3,4-bit,2145.9272,0.0001,22.0165
Ministral3,4-bit,2589.1678,0.0001,21.0328
Ministral3,4-bit,2368.5167,0.0,266.3333
Ministral3,4-bit,2244.5231,0.0004,4.8193
Ministral3,,3564.1146,0.0,24.5918
Ministral3,,4964.203,0.0,19.8308
Ministral3,,4103.2245,0.0,746.0
Ministral3,,4583.1528,0.0002,5.4968
Ministral3,8-bit,2597.6282,0.0001,22.6813
Ministral3,8-bit,3563.2977,0.0001,17.7123
Ministral3,8-bit,2833.9947,0.0,363.5
Ministral3,8-bit,3233.4263,0.0002,5.0
Ministral3,4-bit,1096.4703,0.0,0.0
Ministral3,4-bit,4995.5554,0.0,76.4269
Ministral3,4-bit,1511.2296,0.0,723.0
Ministral3,4-bit,1711.5585,0.0005,5.8625
Ministral3,,1556.876,0.0,0.0
Ministral3,,5746.8329,0.0,35.0833
Ministral3,,2083.3684,0.0,193.25
Ministral3,,5219.0935,0.0001,9.2332
Ministral3,8-bit,1294.2692,0.0,0.0
Ministral3,8-bit,3566.088,0.0,38.3226
Ministral3,8-bit,1770.9649,0.0,296.0
Ministral3,8-bit,3561.7241,0.0002,8.5367
Qwen3,4-bit,1513.032,0.0002,8.191
Qwen3,4-bit,1700.4288,0.0,612.0
Qwen3,4-bit,3100.1028,0.0,21.8
Qwen3,,8024.7405,0.0,8.4448
Qwen3,,2477.2221,0.0001,8.8152
Qwen3,,2462.4195,0.0,188.0
Qwen3,,5205.702,0.0,16.4286
Qwen3,8-bit,1795.2557,0.0002,9.1209
Qwen3,8-bit,1843.487,0.0,209.3333
Qwen3,8-bit,3735.3948,0.0,22.4857
Qwen3,4-bit,11962.9185,0.0,5.6419
Qwen3,4-bit,19861.0961,0.0,87.2632
Qwen3,4-bit,21314.9697,0.0,9.2113
Qwen3,,21061.9398,0.0,5.3546
Qwen3,,41504.9442,0.0,95.1765
Qwen3,,29932.1916,0.0,7.5153
Qwen3,8-bit,15397.2294,0.0,6.1773
Qwen3,8-bit,25800.7419,0.0,110.8667
Qwen3,8-bit,19124.6076,0.0,7.5957
