model,size,quant,domain,success_rate_mean,success_rate_std,mean_reward_mean,mean_reward_std,overall_failure_rate_mean,overall_failure_rate_std,agent_failure_rate_mean,agent_failure_rate_std,avg_tool_calls_mean,avg_tool_calls_std,avg_turns_mean,avg_turns_std,interaction_failure_rate_mean,interaction_failure_rate_std,timeout_rate_mean,timeout_rate_std,tool_format_rate_mean,tool_format_rate_std,crash_rate_mean,crash_rate_std,energy_mean,energy_std,cpu_mean,cpu_std,ram_mean,ram_std,gpu_util_mean,gpu_util_std,gpu_mem_mean,gpu_mem_std,gpu_power_mean,gpu_power_std,total_tasks,successes,failures,interaction_failures,timeout_failures,tool_format_failures
DeepSeek R1 Qwen,1.5B,bf16,alfworld,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,471899.64276399976,0.0,6.230549667938392,0.0,145.42170996273137,0.0,18.631764872120957,0.0,5588.126483679525,0.0,91.536952663558,0.0,109,0,109,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,bf16,dbbench,0.0066666666666666,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2280765.204346998,0.0,6.041575479112508,0.0,147.37283492533703,0.0,21.014660540475184,0.0,5593.526602457529,0.0,97.80344906595732,0.0,300,2,298,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,bf16,os,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2899786.0657399846,0.0,6.845643072729043,0.0,149.45802853985128,0.0,23.538676857170675,0.0,5681.265889701587,0.0,100.99060953169118,0.0,144,0,144,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,bf16,webshop,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,967726.0280299954,0.0,6.338734536605151,0.0,144.93613559834043,0.0,19.227878050429258,0.0,5585.143856046779,0.0,92.209802203745,0.0,200,0,200,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,4-bit,alfworld,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,775883.350476999,0.0,6.634747208436725,0.0,145.6445554823201,0.0,13.027605459057073,0.0,3491.221604567308,0.0,81.02089368796526,0.0,109,0,109,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,4-bit,dbbench,0.0233333333333333,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1418793.1066190004,0.0,5.581239662586834,0.0,146.88272689329722,0.0,11.633600727753889,0.0,3492.013686735032,0.0,78.72398631326497,0.0,300,7,293,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,4-bit,os,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1361941.0784850025,0.0,6.360018697413524,0.0,147.07394920953345,0.0,13.083559631393848,0.0,3882.834093843209,0.0,81.38023901526955,0.0,144,0,144,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,4-bit,webshop,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,937935.8083699964,0.0,6.18982944569852,0.0,145.972948704383,0.0,11.47830448959117,0.0,3499.165122585904,0.0,77.8499377351392,0.0,200,0,200,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,8-bit,alfworld,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,828549.539221001,0.0,6.670971876649325,0.0,146.05369525418456,0.0,16.884716881550176,0.0,4121.153161049537,0.0,86.8977221593908,0.0,109,0,109,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,8-bit,dbbench,0.0066666666666666,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1277449.6780049987,0.0,5.569534497090607,0.0,147.20022192060358,0.0,13.832224993072874,0.0,4121.959767825806,0.0,81.54773104276346,0.0,300,2,298,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,8-bit,os,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2863691.796735016,0.0,6.5706649311683725,0.0,149.58549170421705,0.0,17.221209848217438,0.0,4220.159411677109,0.0,86.36018189639958,0.0,144,0,144,0.0,0.0,0.0
DeepSeek R1 Qwen,1.5B,8-bit,webshop,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,819368.766383998,0.0,6.25510568409026,0.0,146.0737841643459,0.0,13.92302199371608,0.0,4132.865837439304,0.0,79.31718309054556,0.0,200,0,200,0.0,0.0,0.0
