domain,metric,deepseek-r1-qwen-1.5B-bf16,deepseek-r1-qwen-1.5B-q4_k_m,deepseek-r1-qwen-1.5B-q8_0,deepseek-r1-qwen-7B-bf16,deepseek-r1-qwen-7B-q4_k_m,deepseek-r1-qwen-7B-q8_0,ministral3-3B-bf16,ministral3-3B-q4_k_m,ministral3-3B-q8_0,ministral3-8B-bf16,ministral3-8B-q4_k_m,ministral3-8B-q8_0,qwen3-4B-bf16,qwen3-4B-q4_k_m,qwen3-4B-q8_0,qwen3-8B-bf16,qwen3-8B-q4_k_m,qwen3-8B-q8_0,overall_mean
alfworld,success_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.036697,0.009174,0.027523,0.009174,0.027523,0.018349,0.149847,0.174312,0.137615,0.027523,0.009174,0.027523,0.036357
alfworld,failure_rate,0.963303,0.917431,0.889908,0.963303,0.954128,0.972477,0.963303,0.990826,0.972477,0.990826,0.972477,0.981651,0.850153,0.825688,0.862385,0.972477,0.990826,0.972477,0.944784
alfworld,error_rate,0.036697,0.082569,0.110092,0.036697,0.045872,0.027523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018858
alfworld,energy_per_task,4276.932577,7223.009113,7661.292454,4813.18802,6758.199458,3857.064395,2082.152402,1477.654975,1778.930525,4080.810765,2333.99731,2803.613649,41578.295279,19927.65679,25811.559147,2399.726466,1603.086682,1854.510232,7906.760013
dbbench,success_rate,0.006667,0.023333,0.006667,0.123333,0.101111,0.12,0.111111,0.06,0.11,0.216667,0.206667,0.233333,0.467778,0.464444,0.471111,0.311111,0.301111,0.304444,0.20216
dbbench,failure_rate,0.873333,0.914444,0.94,0.857778,0.885556,0.866667,0.865556,0.911111,0.877778,0.783333,0.793333,0.766667,0.531111,0.531111,0.527778,0.688889,0.696667,0.695556,0.778148
dbbench,error_rate,0.12,0.062222,0.053333,0.018889,0.013333,0.013333,0.023333,0.028889,0.012222,0.0,0.0,0.0,0.001111,0.004444,0.001111,0.0,0.002222,0.0,0.019691
dbbench,energy_per_task,7613.664598,4890.918037,4289.719427,3966.8708,2605.417835,2874.809766,5738.333208,5081.635828,3590.674177,4984.607459,2578.085931,3643.873312,21685.440122,11642.154582,15768.136467,2468.733076,1522.139503,1826.815708,5931.779435
os,success_rate,0.0,0.0,0.0,0.006944,0.0,0.00463,0.0,0.0,0.0,0.108796,0.131944,0.127315,0.361111,0.358796,0.372685,0.289352,0.293981,0.289352,0.130273
os,failure_rate,0.666667,0.868056,0.715278,0.87963,0.925926,0.925926,0.94213,0.976852,0.960648,0.840278,0.826389,0.831019,0.618056,0.613426,0.613426,0.659722,0.671296,0.675926,0.789481
os,error_rate,0.333333,0.131944,0.284722,0.113426,0.074074,0.069444,0.05787,0.023148,0.039352,0.050926,0.041667,0.041667,0.020833,0.027778,0.013889,0.050926,0.034722,0.034722,0.080247
os,energy_per_task,20257.038441,9437.993708,20073.549782,12323.17894,8085.953374,8661.614066,4943.498686,2070.342657,3504.283704,7179.110466,4851.306506,5465.337985,37490.709877,20063.099558,24248.545851,7549.761966,5884.686594,6432.995099,11584.611514
webshop,success_rate,0.0,0.0,0.0,0.015,0.01,0.015,0.486667,0.793333,0.565,0.788333,0.818333,0.788333,0.755,0.71,0.758333,0.248333,0.148333,0.216667,0.39537
webshop,failure_rate,0.988333,0.981667,0.995,0.865,0.916667,0.915,0.495,0.205,0.428333,0.211667,0.181667,0.211667,0.238333,0.266667,0.228333,0.751667,0.851667,0.783333,0.584167
webshop,error_rate,0.011667,0.018333,0.005,0.12,0.073333,0.07,0.018333,0.001667,0.006667,0.0,0.0,0.0,0.006667,0.023333,0.013333,0.0,0.0,0.0,0.020463
webshop,energy_per_task,4968.008155,4412.282976,4101.750394,22157.901254,12243.41016,17867.708259,5262.144825,1814.900757,3287.339524,4455.175461,2303.435369,3112.362853,29844.517377,18645.023898,20323.466998,5179.66882,3040.667671,3633.940411,9258.539176
