model,domain,success_rate,failure_rate,error_rate,energy_per_task
deepseek-r1-qwen,alfworld,0.0,0.943425,0.056575,5764.94767
deepseek-r1-qwen,dbbench,0.063518,0.88963,0.046852,4373.566744
deepseek-r1-qwen,os,0.001929,0.830247,0.167824,13139.888052
deepseek-r1-qwen,webshop,0.006667,0.943611,0.049722,10958.5102
deepseek-r1-qwen,overall_mean,0.018029,0.901728,0.080243,8559.228167
ministral3,alfworld,0.021407,0.978593,0.0,2426.193271
ministral3,dbbench,0.156296,0.832963,0.010741,4269.534986
ministral3,os,0.061343,0.896219,0.042438,4668.980001
ministral3,webshop,0.706666,0.288889,0.004444,3372.559798
ministral3,overall_mean,0.236428,0.749166,0.014406,3684.317014
qwen3,alfworld,0.087666,0.912334,0.0,15529.139099
qwen3,dbbench,0.386667,0.611852,0.001481,9152.236576
qwen3,os,0.327546,0.641975,0.030478,16944.966491
qwen3,webshop,0.472778,0.52,0.007222,13444.547529
qwen3,overall_mean,0.318664,0.67154,0.009795,13767.722424
