quant,domain,success_rate,failure_rate,error_rate,energy_per_task
bf16,alfworld,0.037207,0.950561,0.012232,9871.850918
bf16,dbbench,0.206111,0.766667,0.027222,7742.941544
bf16,os,0.1277,0.767747,0.104552,14957.216396
bf16,webshop,0.382222,0.591667,0.026111,11977.902649
bf16,overall_mean,0.18831,0.769161,0.042529,11137.477877
q4_k_m,alfworld,0.036697,0.941896,0.021407,6553.934055
q4_k_m,dbbench,0.192778,0.788704,0.018518,4720.058619
q4_k_m,os,0.130787,0.813658,0.055556,8398.897066
q4_k_m,webshop,0.413333,0.567222,0.019444,7076.620138
q4_k_m,overall_mean,0.193399,0.77787,0.028731,6687.37747
q8_0,alfworld,0.035168,0.941896,0.022936,7294.495067
q8_0,dbbench,0.207592,0.779074,0.013333,5332.338143
q8_0,os,0.13233,0.787037,0.080633,11397.721081
q8_0,webshop,0.390555,0.593611,0.015833,8721.09474
q8_0,overall_mean,0.191411,0.775405,0.033184,8186.412258
