size,domain,success_rate,failure_rate,error_rate,energy_per_task
1.5B,alfworld,0.0,0.923547,0.076453,6387.078048
1.5B,dbbench,0.012222,0.909259,0.078518,5598.100687
1.5B,os,0.0,0.75,0.25,16589.52731
1.5B,webshop,0.0,0.988333,0.011667,4494.013842
1.5B,overall_mean,0.003056,0.892785,0.10416,8267.179972
7B,alfworld,0.0,0.963303,0.036697,5142.817291
7B,dbbench,0.114815,0.87,0.015185,3149.0328
7B,os,0.003858,0.910494,0.085648,9690.248793
7B,webshop,0.013333,0.898889,0.087778,17423.006558
7B,overall_mean,0.033002,0.910672,0.056327,8851.276361
3B,alfworld,0.024465,0.975535,0.0,1779.579301
3B,dbbench,0.093704,0.884815,0.021481,4803.547738
3B,os,0.0,0.959877,0.040123,3506.041682
3B,webshop,0.615,0.376111,0.008889,3454.795035
3B,overall_mean,0.183292,0.799084,0.017623,3385.990939
8B,alfworld,0.019878,0.980122,0.0,2512.624184
8B,dbbench,0.262222,0.737407,0.00037,2837.375832
8B,os,0.20679,0.750772,0.042438,6227.199769
8B,webshop,0.501389,0.498611,0.0,3620.875098
8B,overall_mean,0.24757,0.741728,0.010702,3799.518721
4B,alfworld,0.153925,0.846075,0.0,29105.837072
4B,dbbench,0.467778,0.53,0.002222,16365.243724
4B,os,0.364197,0.614969,0.020833,27267.451762
4B,webshop,0.741111,0.244444,0.014444,22937.669424
4B,overall_mean,0.431753,0.558872,0.009375,23919.050495
