model,size,quant,domain,run,wall_clock_s,tasks_completed,throughput_tpm,mean_task_s,gpu_mem_peak_mib,gpu_mem_avg_mib,gpu_power_avg_w,total_energy_j
ministral3,3B,q4_k_m,os,run1,1584.6,143,5.414,11.08,4973.4,4912.9,68.5,157891.7
ministral3,3B,q8_0,os,run1,1741.4,143,4.927,12.18,10537.2,6448.0,73.7,186374.8
ministral3,3B,bf16,os,run1,1903.3,142,4.477,13.4,15117.4,10125.6,90.7,224190.1
ministral3,8B,q4_k_m,os,run1,2331.1,143,3.681,16.3,16445.7,8324.8,95.2,309013.5
ministral3,8B,q8_0,os,run1,2482.3,143,3.456,17.36,18023.2,11366.1,117.4,374058.5
ministral3,8B,bf16,os,run1,2941.5,143,2.917,20.57,18319.2,18218.4,136.7,513232.5
qwen3,4B,q4_k_m,os,run1,10216.3,139,0.816,73.5,8480.4,8404.9,250.4,2979558.1
qwen3,4B,q8_0,os,run1,11133.2,142,0.765,78.4,10150.9,10117.7,240.6,3113387.6
qwen3,4B,bf16,os,run1,19424.3,139,0.429,139.74,13771.2,13687.1,255.2,5729186.9
qwen3,8B,q4_k_m,os,run1,3636.6,139,2.293,26.16,10591.4,10506.1,217.3,915610.6
qwen3,8B,q8_0,os,run1,3610.3,139,2.31,25.97,20554.4,13719.5,209.0,892142.3
qwen3,8B,bf16,os,run1,4677.2,136,1.745,34.39,20561.5,20517.3,209.9,1155562.6
ministral3,3B,q4_k_m,dbbench,run1,10922.2,292,1.604,37.4,7904.3,7796.0,98.6,1498666.6
ministral3,3B,q8_0,dbbench,run1,7612.3,297,2.341,25.63,9336.4,9246.7,101.5,1069826.4
ministral3,3B,bf16,dbbench,run1,9906.3,293,1.775,33.81,12490.2,12396.1,136.4,1724049.9
ministral3,8B,q4_k_m,dbbench,run1,5318.1,300,3.385,17.73,22099.0,11517.1,110.8,776750.3
ministral3,8B,q8_0,dbbench,run1,5997.2,300,3.001,19.99,14955.8,14879.8,140.6,1068989.3
ministral3,8B,bf16,dbbench,run1,7395.6,300,2.434,24.65,22154.4,22053.4,163.1,1489260.9
qwen3,4B,q4_k_m,dbbench,run1,12827.7,298,1.394,43.05,8476.0,8406.1,240.5,3588875.6
qwen3,4B,q8_0,dbbench,run1,16685.0,300,1.079,55.62,10188.7,10096.4,237.3,4619168.8
qwen3,4B,bf16,dbbench,run1,21994.5,300,0.818,73.31,23498.9,13777.1,247.6,6318581.9
qwen3,8B,q4_k_m,dbbench,run1,3258.7,300,5.524,10.86,10572.6,10495.2,110.1,453909.6
qwen3,8B,q8_0,dbbench,run1,3431.5,300,5.246,11.44,13805.2,13734.1,124.5,538576.7
qwen3,8B,bf16,dbbench,run1,4054.9,300,4.439,13.52,20574.8,20483.8,147.9,743166.6
ministral3,3B,q4_k_m,webshop,run1,2756.2,200,4.354,13.78,7919.2,7850.8,88.8,342311.7
ministral3,3B,q8_0,webshop,run1,4990.0,198,2.381,25.2,9327.4,9263.5,105.3,712344.8
ministral3,3B,bf16,webshop,run1,5815.0,196,2.022,29.67,12440.9,12398.1,139.7,1043818.7
ministral3,8B,q4_k_m,webshop,run1,2928.2,200,4.098,14.64,11590.3,11512.5,120.3,448904.6
ministral3,8B,q8_0,webshop,run1,3548.8,200,3.381,17.74,14968.2,14876.3,143.2,646685.3
ministral3,8B,bf16,webshop,run1,4590.2,200,2.614,22.95,22130.9,22036.2,163.5,916630.6
qwen3,4B,q4_k_m,webshop,run1,14130.0,192,0.815,73.59,8477.9,8402.9,260.3,4262993.9
qwen3,4B,q8_0,webshop,run1,13541.5,199,0.882,68.05,10180.9,10096.3,243.0,3824921.5
qwen3,4B,bf16,webshop,run1,20305.4,199,0.588,102.04,13780.6,13696.8,254.6,5986438.3
qwen3,8B,q4_k_m,webshop,run1,3082.1,200,3.893,15.41,10591.9,10516.1,164.1,620020.6
qwen3,8B,q8_0,webshop,run1,3637.5,200,3.299,18.19,23539.7,14337.9,165.8,747079.0
