model,size,quant,domain,n_runs,wall_clock_s,throughput_tpm,mean_task_s,gpu_mem_peak_mib,gpu_mem_avg_mib,gpu_power_avg_w,total_energy_j
deepseek-r1-qwen,1.5B,bf16,alfworld,3,3149.7000000000003,2.0,29.99666666666667,5726.7,5713.866666666666,91.83333333333333,466185.6333333333
deepseek-r1-qwen,1.5B,bf16,dbbench,3,16610.433333333334,0.9533333333333333,62.916666666666664,5612.233333333334,5582.566666666667,98.26666666666667,2284099.3666666667
deepseek-r1-qwen,1.5B,bf16,os,3,20565.233333333334,0.28,214.22333333333333,5640.566666666667,5591.366666666666,101.5,2917013.5666666664
deepseek-r1-qwen,1.5B,bf16,webshop,3,7533.3,1.5756666666666668,38.11333333333334,5596.666666666667,5572.3,93.43333333333334,993601.6333333333
deepseek-r1-qwen,1.5B,q4_k_m,alfworld,3,6484.066666666667,0.9253333333333335,64.84,3511.2999999999997,3475.5333333333333,81.66666666666667,787308.0333333333
deepseek-r1-qwen,1.5B,q4_k_m,dbbench,3,12346.6,1.3673333333333335,43.89000000000001,3497.3333333333335,3479.5,79.93333333333334,1467275.4000000001
deepseek-r1-qwen,1.5B,q4_k_m,os,3,11223.199999999999,0.6683333333333333,89.78666666666668,11515.800000000001,3668.0333333333333,81.5,1359071.0999999999
deepseek-r1-qwen,1.5B,q4_k_m,webshop,3,7530.466666666667,1.569,38.37,3507.7333333333336,3479.066666666667,77.76666666666667,882456.6
deepseek-r1-qwen,1.5B,q8_0,alfworld,3,6228.8,0.9343333333333333,64.21333333333334,4119.533333333334,4105.866666666666,87.0,835080.8666666667
deepseek-r1-qwen,1.5B,q8_0,dbbench,3,10748.366666666667,1.5853333333333335,37.846666666666664,4139.4,4111.266666666666,82.2,1286915.8333333333
deepseek-r1-qwen,1.5B,q8_0,os,3,22628.466666666664,0.2733333333333334,219.6933333333333,5065.2,4122.533333333333,87.2,2890591.1666666665
deepseek-r1-qwen,1.5B,q8_0,webshop,3,6913.266666666666,1.728,34.74333333333333,4133.066666666667,4110.866666666666,79.96666666666665,820350.0666666668
deepseek-r1-qwen,7B,bf16,alfworld,3,2842.5333333333333,2.216333333333333,27.073333333333334,17197.766666666666,17148.7,146.0,524637.5
deepseek-r1-qwen,7B,bf16,dbbench,3,6497.033333333333,2.72,22.073333333333334,17056.600000000002,17043.533333333333,146.9333333333333,1190061.2333333334
deepseek-r1-qwen,7B,bf16,os,3,8964.633333333333,0.855,70.22333333333334,17044.333333333332,17011.466666666664,159.96666666666667,1774537.7666666666
deepseek-r1-qwen,7B,bf16,webshop,3,20227.733333333334,0.533,115.94333333333334,17056.966666666664,17034.13333333333,179.66666666666666,4431580.233333333
deepseek-r1-qwen,7B,q4_k_m,alfworld,3,4619.7,1.3506666666666665,44.419999999999995,7788.433333333333,7773.766666666666,119.76666666666667,736643.7333333334
deepseek-r1-qwen,7B,q4_k_m,dbbench,3,5609.400000000001,3.17,18.95,7660.900000000001,7642.099999999999,103.46666666666665,781625.3333333334
deepseek-r1-qwen,7B,q4_k_m,os,3,7501.599999999999,1.067,56.27,7690.833333333333,7648.966666666667,116.39999999999999,1164377.2666666666
deepseek-r1-qwen,7B,q4_k_m,webshop,3,14538.966666666667,0.7663333333333333,78.48,7661.533333333333,7637.166666666667,128.76666666666668,2448682.033333333
deepseek-r1-qwen,7B,q8_0,alfworld,3,2545.0666666666666,2.499,24.01,10794.0,10765.233333333334,128.0666666666667,420420.0333333334
deepseek-r1-qwen,7B,q8_0,dbbench,3,5448.7,3.2593333333333336,18.41,15234.300000000001,10789.866666666667,122.40000000000002,862442.9333333332
deepseek-r1-qwen,7B,q8_0,os,3,7028.833333333333,1.1453333333333333,52.46666666666667,10651.933333333334,10608.766666666666,136.26666666666665,1247272.4666666668
deepseek-r1-qwen,7B,q8_0,webshop,3,18049.6,0.6196666666666667,97.13333333333333,11789.766666666668,10649.9,158.6,3573541.6666666665
ministral3,3B,bf16,alfworld,3,1542.4333333333334,4.241,14.15,15340.033333333333,12789.300000000001,110.43333333333334,226954.63333333333
ministral3,3B,bf16,dbbench,3,9900.6,1.7766666666666666,33.79333333333333,12574.566666666666,12481.833333333334,135.96666666666667,1721499.9666666668
ministral3,3B,bf16,os,3,4289.3,2.460666666666667,32.053333333333335,13449.033333333333,11742.733333333332,120.43333333333332,711863.7999999999
ministral3,3B,bf16,webshop,3,5961.133333333334,1.9873333333333332,30.376666666666665,15313.466666666665,12571.133333333333,137.73333333333332,1052428.9666666666
ministral3,3B,q4_k_m,alfworld,3,1313.7,4.982,12.056666666666667,7948.633333333334,7895.066666666667,79.39999999999999,161064.36666666667
ministral3,3B,q4_k_m,dbbench,3,11073.733333333332,1.5786666666666667,38.01,7978.033333333333,7897.466666666667,98.8,1524490.7333333334
ministral3,3B,q4_k_m,os,3,2501.866666666667,3.698,17.846666666666668,7018.366666666666,6951.833333333333,82.26666666666667,298129.3333333333
ministral3,3B,q4_k_m,webshop,3,2889.1666666666665,4.1690000000000005,14.473333333333334,7945.733333333334,7891.866666666666,89.39999999999999,362980.1666666667
ministral3,3B,q8_0,alfworld,3,1567.5333333333335,4.1723333333333334,14.38,9357.800000000001,9306.1,87.36666666666667,193903.43333333335
ministral3,3B,q8_0,dbbench,3,7600.566666666667,2.34,25.649999999999995,11758.199999999999,9378.533333333333,101.2,1077202.2666666666
ministral3,3B,q8_0,os,3,3801.6666666666665,2.7680000000000002,27.743333333333336,9804.9,8403.866666666667,92.23333333333333,504616.8666666667
ministral3,3B,q8_0,webshop,3,4627.5,2.5846666666666667,23.296666666666667,9357.699999999999,9311.433333333334,104.33333333333333,657467.9
ministral3,8B,bf16,alfworld,3,2329.7000000000003,2.807,21.373333333333335,22189.13333333333,22050.666666666668,149.4,444808.39999999997
ministral3,8B,bf16,dbbench,3,7490.7,2.404,24.96666666666667,22216.36666666667,22133.7,161.76666666666665,1495382.2333333334
ministral3,8B,bf16,os,3,5226.5,1.8123333333333331,38.666666666666664,20932.633333333335,20860.066666666666,155.23333333333332,1033791.9333333332
ministral3,8B,bf16,webshop,3,4440.266666666666,2.7046666666666668,22.2,22164.0,22086.933333333334,163.1,891035.1333333333
ministral3,8B,q4_k_m,alfworld,3,1710.5,3.8236666666666665,15.693333333333333,11602.033333333333,11536.300000000001,110.3,254405.69999999998
ministral3,8B,q4_k_m,dbbench,3,5249.566666666667,3.4293333333333336,17.5,15149.6,11584.066666666666,110.60000000000001,773425.7666666666
ministral3,8B,q4_k_m,os,3,4500.733333333334,2.1986666666666665,32.919999999999995,13281.800000000001,10534.333333333334,114.0,698588.1333333333
ministral3,8B,q4_k_m,webshop,3,3000.9666666666667,4.005,15.003333333333332,11930.733333333332,11546.800000000001,119.36666666666667,460687.06666666665
