Configuration,Domain,Success (%),Energy/Task (kJ),Wall-Clock/Task (s),Throughput (tasks/min),Peak GPU Mem (MiB)
deepseek-r1-qwen-1.5B-BF16,ALFWORLD,0.0,4.28,30.0,2.0,5727
deepseek-r1-qwen-1.5B-BF16,ALL,0.2,9.28,86.3,1.2,5644
deepseek-r1-qwen-1.5B-BF16,DBBENCH,0.7,7.61,62.9,0.95,5612
deepseek-r1-qwen-1.5B-BF16,OS,0.0,20.26,214.2,0.28,5641
deepseek-r1-qwen-1.5B-BF16,WEBSHOP,0.0,4.97,38.1,1.58,5597
deepseek-r1-qwen-1.5B-Q4_K_M,ALFWORLD,0.0,7.22,64.8,0.93,3511
deepseek-r1-qwen-1.5B-Q4_K_M,ALL,0.6,6.49,59.2,1.13,5508
deepseek-r1-qwen-1.5B-Q4_K_M,DBBENCH,2.3,4.89,43.9,1.37,3497
deepseek-r1-qwen-1.5B-Q4_K_M,OS,0.0,9.44,89.8,0.67,11516
deepseek-r1-qwen-1.5B-Q4_K_M,WEBSHOP,0.0,4.41,38.4,1.57,3508
deepseek-r1-qwen-1.5B-Q8_0,ALFWORLD,0.0,7.66,64.2,0.93,4120
deepseek-r1-qwen-1.5B-Q8_0,ALL,0.2,9.03,89.1,1.13,4364
deepseek-r1-qwen-1.5B-Q8_0,DBBENCH,0.7,4.29,37.8,1.59,4139
deepseek-r1-qwen-1.5B-Q8_0,OS,0.0,20.07,219.7,0.27,5065
deepseek-r1-qwen-1.5B-Q8_0,WEBSHOP,0.0,4.1,34.7,1.73,4133
deepseek-r1-qwen-7B-BF16,ALFWORLD,0.0,4.81,27.1,2.22,17198
deepseek-r1-qwen-7B-BF16,ALL,3.6,10.82,58.8,1.58,17089
deepseek-r1-qwen-7B-BF16,DBBENCH,12.3,3.97,22.1,2.72,17057
deepseek-r1-qwen-7B-BF16,OS,0.7,12.32,70.2,0.86,17044
deepseek-r1-qwen-7B-BF16,WEBSHOP,1.5,22.16,115.9,0.53,17057
deepseek-r1-qwen-7B-Q4_K_M,ALFWORLD,0.0,6.76,44.4,1.35,7788
deepseek-r1-qwen-7B-Q4_K_M,ALL,2.8,7.42,49.5,1.59,7700
deepseek-r1-qwen-7B-Q4_K_M,DBBENCH,10.1,2.61,19.0,3.17,7661
deepseek-r1-qwen-7B-Q4_K_M,OS,0.0,8.09,56.3,1.07,7691
deepseek-r1-qwen-7B-Q4_K_M,WEBSHOP,1.0,12.24,78.5,0.77,7662
deepseek-r1-qwen-7B-Q8_0,ALFWORLD,0.0,3.86,24.0,2.5,10794
deepseek-r1-qwen-7B-Q8_0,ALL,3.5,8.32,48.0,1.88,12118
deepseek-r1-qwen-7B-Q8_0,DBBENCH,12.0,2.87,18.4,3.26,15234
deepseek-r1-qwen-7B-Q8_0,OS,0.5,8.66,52.5,1.15,10652
deepseek-r1-qwen-7B-Q8_0,WEBSHOP,1.5,17.87,97.1,0.62,11790
ministral3-3B-BF16,ALFWORLD,3.7,2.08,14.2,4.24,15340
ministral3-3B-BF16,ALL,15.9,4.51,27.6,2.62,14169
ministral3-3B-BF16,DBBENCH,11.1,5.74,33.8,1.78,12575
ministral3-3B-BF16,OS,0.0,4.94,32.1,2.46,13449
ministral3-3B-BF16,WEBSHOP,48.7,5.26,30.4,1.99,15313
ministral3-3B-Q4_K_M,ALFWORLD,0.9,1.48,12.1,4.98,7949
ministral3-3B-Q4_K_M,ALL,21.6,2.61,20.6,3.61,7723
ministral3-3B-Q4_K_M,DBBENCH,6.0,5.08,38.0,1.58,7978
ministral3-3B-Q4_K_M,OS,0.0,2.07,17.8,3.7,7018
ministral3-3B-Q4_K_M,WEBSHOP,79.3,1.81,14.5,4.17,7946
ministral3-3B-Q8_0,ALFWORLD,2.8,1.78,14.4,4.17,9358
ministral3-3B-Q8_0,ALL,17.6,3.04,22.8,2.97,10070
ministral3-3B-Q8_0,DBBENCH,11.0,3.59,25.6,2.34,11758
ministral3-3B-Q8_0,OS,0.0,3.5,27.7,2.77,9805
