model,size,quant,domain,agent_failed_mean,avg_tool_calls_mean,avg_tool_calls_std,avg_turns_mean,avg_turns_std,completed_failure_rate_mean,completed_failure_rate_std,completed_failures_mean,completion_rate_mean,completion_rate_std,cpu_energy_mean,cpu_energy_std,cpu_mean,cpu_std,energy_mean,energy_per_action_mean,energy_per_action_std,energy_per_success_mean,energy_per_success_std,energy_per_task_mean,energy_per_task_std,energy_std,error_rate_mean,error_rate_std,errors_mean,failure_rate_mean,failure_rate_std,failures_mean,gpu_energy_mean,gpu_energy_std,gpu_mem_mean,gpu_mem_std,gpu_power_mean,gpu_power_std,gpu_util_mean,gpu_util_std,ia_failures_mean,ia_rate_mean,ia_rate_std,if_failures_mean,if_rate_mean,if_rate_std,interact_failed_mean,mean_reward_mean,mean_reward_std,ram_mean,ram_std,runs_completed_mean,start_failed_mean,success_rate_mean,success_rate_std,successes_mean,task_error_rate_mean,task_error_rate_std,task_errors_mean,tle_failures_mean,tle_rate_mean,tle_rate_std,total_tasks
deepseek-r1-qwen,1.5B,bf16,alfworld,4.0,0.0,0.0,4.228571,0.0,0.0,0.0,0.0,0.963303,0.0,141987.066258,6554.416099,6.431592,0.502796,466185.650924,0.0,0.0,,,4276.932577,59.279323,6461.446253,0.036697,0.0,4.0,0.963303,0.0,105.0,324198.584667,214.98086,5713.882499,191.503347,91.837668,0.335608,18.548265,0.12355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.983445,3.0719,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.963303,0.0,109
deepseek-r1-qwen,1.5B,bf16,dbbench,26.0,1.011364,0.0,3.022727,0.0,0.873333,0.0,262.0,0.88,0.0,652051.576042,7877.541535,6.040463,0.081061,2284099.379375,8554.679324,45.416664,1142049.689688,6063.124628,7613.664598,40.420831,12126.249256,0.12,0.0,36.0,0.873333,0.0,262.0,1632047.803333,16745.115946,5582.588062,7.961194,98.28113,0.806839,21.042196,0.093683,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,148.030502,1.341709,264.0,0.0,0.006667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,300
deepseek-r1-qwen,1.5B,bf16,os,18.0,0.010417,0.0,5.833333,0.0,0.006944,0.0,1.0,0.666667,0.0,830391.27205,9597.603996,6.802416,0.078409,2917013.53555,2917013.53555,20099.574071,,,20257.038441,139.580375,20099.574071,0.333333,0.0,48.0,0.666667,0.0,96.0,2086622.2635,26290.800812,5591.325208,74.405555,101.513431,1.146341,23.43537,0.156059,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,149.325672,1.45128,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.659722,0.0,144
deepseek-r1-qwen,1.5B,bf16,webshop,0.0,0.0,0.0,4.145012,0.008361,0.0,0.0,0.0,0.988333,0.002357,289797.17491,8271.097304,6.201049,0.185086,993601.63091,0.0,0.0,,,4968.008155,117.486053,23497.210608,0.011667,0.002357,2.333333,0.988333,0.002357,197.666667,703804.456,16912.104939,5572.320729,10.948393,93.443422,1.384426,19.22769,0.133168,0.0,0.0,0.0,0.0,0.0,0.0,2.333333,0.0,0.0,146.13691,1.687864,197.666667,0.0,0.0,0.0,0.0,0.988333,0.002357,197.666667,0.0,0.0,0.0,200
deepseek-r1-qwen,1.5B,q4_k_m,alfworld,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.917431,0.0,257410.96898,2802.563666,6.547288,0.099135,787307.993313,0.0,0.0,,,7223.009113,104.320347,11370.917863,0.082569,0.0,9.0,0.917431,0.0,100.0,529897.024333,9401.038048,3475.529326,12.221719,81.687843,1.098174,12.986786,0.059236,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,146.080055,1.291775,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.917431,0.0,109
deepseek-r1-qwen,1.5B,q4_k_m,dbbench,10.666667,1.178908,0.001374,3.357815,0.002748,0.911111,0.001571,273.333333,0.937778,0.001571,479926.453012,9581.977074,5.720742,0.204574,1467275.411012,4424.274877,120.449038,209610.773002,5146.726459,4890.918037,120.090284,36027.08521,0.062222,0.001571,18.666667,0.914444,0.001571,274.333333,987348.958,26457.481568,3479.502871,13.043501,79.971311,1.030183,11.691341,0.041272,0.0,0.0,0.0,1.0,0.003333,0.0,8.0,1.0,0.0,147.501522,1.438471,281.333333,0.0,0.023333,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,300
deepseek-r1-qwen,1.5B,q4_k_m,os,5.0,0.008,0.0,5.368,0.0,0.0,0.0,0.0,0.868056,0.0,444695.282472,2291.893368,6.400255,0.079548,1359071.093972,1359071.093972,3083.678418,,,9437.993708,21.414433,3083.678418,0.131944,0.0,19.0,0.868056,0.0,125.0,914375.8115,2572.382761,3668.038774,165.422687,81.510832,0.154923,13.031748,0.036641,0.0,0.0,0.0,1.0,0.006944,0.0,14.0,0.0,0.0,146.011888,0.759881,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.861111,0.0,144
deepseek-r1-qwen,1.5B,q4_k_m,webshop,3.0,0.0,0.0,4.278154,0.050191,0.0,0.0,0.0,0.981667,0.006236,297298.512023,15555.932071,6.214943,0.026645,882456.59519,0.0,0.0,,,4412.282976,211.305964,42261.192881,0.018333,0.006236,3.666667,0.981667,0.006236,196.333333,585158.083167,26754.682893,3479.054132,15.278512,77.769324,1.104938,11.240211,0.168445,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,146.469021,1.406613,196.333333,0.0,0.0,0.0,0.0,0.981667,0.006236,196.333333,0.0,0.0,0.0,200
deepseek-r1-qwen,1.5B,q8_0,alfworld,12.0,0.0,0.0,4.257732,0.0,0.0,0.0,0.0,0.889908,0.0,260558.611001,5876.733497,6.564986,0.074946,835080.877501,0.0,0.0,,,7661.292454,67.031429,7306.425719,0.110092,0.0,12.0,0.889908,0.0,97.0,574522.2665,5235.028945,4105.835896,12.125455,87.012401,0.846346,16.882889,0.080747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.741399,0.689553,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.889908,0.0,109
deepseek-r1-qwen,1.5B,q8_0,dbbench,9.0,1.010563,0.0,3.021127,0.0,0.94,0.0,282.0,0.946667,0.0,402932.257898,5939.609357,5.479683,0.088323,1286915.828065,4484.027275,44.035064,643457.914032,6319.03173,4289.719427,42.126878,12638.063461,0.053333,0.0,16.0,0.94,0.0,282.0,883983.570167,10736.296626,4111.242086,8.099712,82.226105,0.893919,13.803508,0.032936,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,147.564513,1.424381,284.0,0.0,0.006667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,300
