model,size,quant,domain,success_rate_mean,success_rate_std,mean_reward_mean,mean_reward_std,avg_tool_calls_mean,avg_tool_calls_std,avg_turns_mean,avg_turns_std
deepseek-r1-qwen,1.5B,16-bit,alfworld,0.0,0.0,0.0,0.0,0.0,0.0,4.228571,0.0
deepseek-r1-qwen,1.5B,16-bit,dbbench,0.006667,0.0,1.0,0.0,1.011364,0.0,3.022727,0.0
deepseek-r1-qwen,1.5B,16-bit,os,0.0,0.0,0.0,0.0,0.010417,0.0,5.833333,0.0
deepseek-r1-qwen,1.5B,16-bit,webshop,0.0,0.0,0.0,0.0,0.0,0.0,4.145012,0.008361
deepseek-r1-qwen,1.5B,4-bit,alfworld,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0
deepseek-r1-qwen,1.5B,4-bit,dbbench,0.023333,0.0,1.0,0.0,1.178908,0.001374,3.357815,0.002748
deepseek-r1-qwen,1.5B,4-bit,os,0.0,0.0,0.0,0.0,0.008,0.0,5.368,0.0
deepseek-r1-qwen,1.5B,4-bit,webshop,0.0,0.0,0.0,0.0,0.0,0.0,4.278154,0.050191
deepseek-r1-qwen,1.5B,8-bit,alfworld,0.0,0.0,0.0,0.0,0.0,0.0,4.257732,0.0
deepseek-r1-qwen,1.5B,8-bit,dbbench,0.006667,0.0,1.0,0.0,1.010563,0.0,3.021127,0.0
deepseek-r1-qwen,1.5B,8-bit,os,0.0,0.0,0.0,0.0,0.009709,0.0,6.048544,0.0
deepseek-r1-qwen,1.5B,8-bit,webshop,0.0,0.0,0.0,0.0,0.0,0.0,4.227806,0.037902
deepseek-r1-qwen,7B,16-bit,alfworld,0.0,0.0,0.0,0.0,1.390476,0.0,6.752381,0.0
deepseek-r1-qwen,7B,16-bit,dbbench,0.123333,0.0,1.0,0.0,2.175533,0.008828,5.233295,0.004188
deepseek-r1-qwen,7B,16-bit,os,0.006944,0.0,1.0,0.0,2.119997,0.038757,7.117249,0.073486
deepseek-r1-qwen,7B,16-bit,webshop,0.015,0.004082,0.657407,0.057078,3.756846,0.028206,11.660415,0.029165
deepseek-r1-qwen,7B,4-bit,alfworld,0.0,0.0,0.0,0.0,2.721154,0.0,9.173077,0.0
deepseek-r1-qwen,7B,4-bit,dbbench,0.101111,0.001571,1.0,0.0,2.133957,0.02194,5.201498,0.031421
deepseek-r1-qwen,7B,4-bit,os,0.0,0.0,0.0,0.0,2.294935,0.055317,8.145045,0.083869
deepseek-r1-qwen,7B,4-bit,webshop,0.01,0.0,0.7,0.188562,3.84682,0.082399,11.307212,0.194089
deepseek-r1-qwen,7B,8-bit,alfworld,0.0,0.0,0.0,0.0,1.198113,0.0,6.320755,0.0
deepseek-r1-qwen,7B,8-bit,dbbench,0.12,0.0,1.0,0.0,2.177928,0.011148,5.227477,0.015926
deepseek-r1-qwen,7B,8-bit,os,0.00463,0.003274,0.666667,0.471405,2.415309,0.020684,7.619408,0.015854
deepseek-r1-qwen,7B,8-bit,webshop,0.015,0.0,0.703704,0.026189,3.426313,0.026756,10.971282,0.148282
ministral3,3B,16-bit,alfworld,0.036697,0.0,1.0,0.0,7.091743,0.0,15.12844,0.0
ministral3,3B,16-bit,dbbench,0.111111,0.001571,1.0,0.0,3.940822,0.025965,7.474387,0.031899
ministral3,3B,16-bit,os,0.0,0.0,0.0,0.0,1.683668,0.056004,4.360463,0.170071
ministral3,3B,16-bit,webshop,0.486667,0.022485,0.601214,0.017202,4.818186,0.047217,11.505563,0.135021
ministral3,3B,4-bit,alfworld,0.009174,0.0,1.0,0.0,6.633028,0.0,13.990826,0.0
ministral3,3B,4-bit,dbbench,0.06,0.0,1.0,0.0,4.575503,0.053788,8.06978,0.072085
ministral3,3B,4-bit,os,0.0,0.0,0.0,0.0,1.417044,0.002167,4.591528,0.076223
ministral3,3B,4-bit,webshop,0.793333,0.004714,0.577636,0.010904,4.747889,0.054017,11.405586,0.084575
ministral3,3B,8-bit,alfworld,0.027523,0.0,1.0,0.0,8.146789,0.0,17.100917,0.0
ministral3,3B,8-bit,dbbench,0.11,0.0,1.0,0.0,4.126968,0.064352,7.768084,0.084225
ministral3,3B,8-bit,os,0.0,0.0,0.0,0.0,1.85133,0.072776,4.647007,0.15311
ministral3,3B,8-bit,webshop,0.565,0.0,0.577242,0.008186,4.810424,0.026231,11.42118,0.042308
ministral3,8B,16-bit,alfworld,0.009174,0.0,1.0,0.0,6.844037,0.0,14.091743,0.0
ministral3,8B,16-bit,dbbench,0.216667,0.0,1.0,0.0,4.378889,0.058394,8.543333,0.086965
ministral3,8B,16-bit,os,0.108796,0.016368,1.0,0.0,3.05166,0.137074,6.801463,0.180512
ministral3,8B,16-bit,webshop,0.788333,0.008498,0.636262,0.005682,4.256667,0.062494,9.573333,0.129508
ministral3,8B,4-bit,alfworld,0.027523,0.0,1.0,0.0,7.330275,0.0,14.825688,0.0
ministral3,8B,4-bit,dbbench,0.206667,0.007201,1.0,0.0,4.253333,0.019052,8.353333,0.023254
ministral3,8B,4-bit,os,0.131944,0.01701,1.0,0.0,3.111118,0.197503,7.043259,0.394229
ministral3,8B,4-bit,webshop,0.818333,0.016499,0.620047,0.010393,3.943333,0.184044,8.948333,0.363922
ministral3,8B,8-bit,alfworld,0.018349,0.0,1.0,0.0,6.669725,0.0,13.798165,0.0
ministral3,8B,8-bit,dbbench,0.233333,0.008165,1.0,0.0,4.381111,0.051448,8.564444,0.060267
ministral3,8B,8-bit,os,0.127315,0.014269,1.0,0.0,3.119757,0.133192,6.898326,0.196151
ministral3,8B,8-bit,webshop,0.788333,0.006236,0.633232,0.003339,4.015,0.030822,9.105,0.01633
qwen3,4B,16-bit,alfworld,0.149847,0.004325,1.0,0.0,14.850153,0.004325,31.293578,0.0
qwen3,4B,16-bit,dbbench,0.467778,0.001571,1.0,0.0,2.569487,0.059952,5.699632,0.054841
qwen3,4B,16-bit,os,0.361111,0.00567,1.0,0.0,2.997551,0.027217,6.397001,0.028128
qwen3,4B,16-bit,webshop,0.755,0.024495,0.630619,0.016583,5.860938,0.11604,12.307497,0.241681
qwen3,4B,4-bit,alfworld,0.174312,0.0,1.0,0.0,15.211009,0.0,31.926606,0.0
qwen3,4B,4-bit,dbbench,0.464444,0.001571,1.0,0.0,2.623878,0.007128,5.745511,0.014637
qwen3,4B,4-bit,os,0.358796,0.014269,1.0,0.0,3.247339,0.048794,6.935406,0.052867
qwen3,4B,4-bit,webshop,0.71,0.007071,0.633231,0.005105,6.378038,0.088942,13.251119,0.167799
qwen3,4B,8-bit,alfworld,0.137615,0.0,1.0,0.0,15.256881,0.0,31.944954,0.0
qwen3,4B,8-bit,dbbench,0.471111,0.001571,1.0,0.0,2.90544,0.008439,6.047808,0.014948
qwen3,4B,8-bit,os,0.372685,0.017322,1.0,0.0,3.086854,0.01447,6.58216,0.041596
qwen3,4B,8-bit,webshop,0.758333,0.015456,0.638051,0.012028,5.921184,0.095099,12.352322,0.166597
qwen3,8B,16-bit,alfworld,0.027523,0.0,1.0,0.0,5.174312,0.0,11.376147,0.0
qwen3,8B,16-bit,dbbench,0.311111,0.003143,1.0,0.0,2.713333,0.007201,6.108889,0.012273
qwen3,8B,16-bit,os,0.289352,0.003274,1.0,0.0,2.446239,0.030171,5.755922,0.053114
qwen3,8B,16-bit,webshop,0.248333,0.008498,0.572938,0.013189,3.963333,0.070277,12.953333,0.156009
qwen3,8B,4-bit,alfworld,0.009174,0.0,1.0,0.0,5.614679,0.0,12.394495,0.0
qwen3,8B,4-bit,dbbench,0.301111,0.004157,1.0,0.0,2.427658,0.016268,5.722811,0.033441
qwen3,8B,4-bit,os,0.293981,0.016368,1.0,0.0,2.544365,0.012228,5.947242,0.016957
qwen3,8B,4-bit,webshop,0.148333,0.022485,0.607771,0.028065,3.246667,0.059489,9.785,0.123288
qwen3,8B,8-bit,alfworld,0.027523,0.0,1.0,0.0,5.761468,0.0,12.59633,0.0
qwen3,8B,8-bit,dbbench,0.304444,0.001571,1.0,0.0,2.756667,0.014142,6.141111,0.021999
qwen3,8B,8-bit,os,0.289352,0.006547,1.0,0.0,2.517986,0.005874,5.872902,0.013566
qwen3,8B,8-bit,webshop,0.216667,0.032745,0.596338,0.012271,3.938333,0.004714,12.771667,0.067987
