model,size,quant,domain,tle_rate_mean,tle_rate_std,if_rate_mean,if_rate_std,ia_rate_mean,ia_rate_std,task_error_rate_mean,task_error_rate_std,completed_failure_rate_mean,completed_failure_rate_std,error_rate_mean,error_rate_std
deepseek-r1-qwen,1.5B,16-bit,alfworld,0.963303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036697,0.0
deepseek-r1-qwen,1.5B,16-bit,dbbench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873333,0.0,0.12,0.0
deepseek-r1-qwen,1.5B,16-bit,os,0.659722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944,0.0,0.333333,0.0
deepseek-r1-qwen,1.5B,16-bit,webshop,0.0,0.0,0.0,0.0,0.0,0.0,0.988333,0.002357,0.0,0.0,0.011667,0.002357
deepseek-r1-qwen,1.5B,4-bit,alfworld,0.917431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082569,0.0
deepseek-r1-qwen,1.5B,4-bit,dbbench,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.911111,0.001571,0.062222,0.001571
deepseek-r1-qwen,1.5B,4-bit,os,0.861111,0.0,0.006944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131944,0.0
deepseek-r1-qwen,1.5B,4-bit,webshop,0.0,0.0,0.0,0.0,0.0,0.0,0.981667,0.006236,0.0,0.0,0.018333,0.006236
deepseek-r1-qwen,1.5B,8-bit,alfworld,0.889908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110092,0.0
deepseek-r1-qwen,1.5B,8-bit,dbbench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.053333,0.0
deepseek-r1-qwen,1.5B,8-bit,os,0.708333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944,0.0,0.284722,0.0
deepseek-r1-qwen,1.5B,8-bit,webshop,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.005,0.0
deepseek-r1-qwen,7B,16-bit,alfworld,0.06422,0.0,0.862385,0.0,0.036697,0.0,0.0,0.0,0.0,0.0,0.036697,0.0
deepseek-r1-qwen,7B,16-bit,dbbench,0.156667,0.005443,0.0,0.0,0.0,0.0,0.0,0.0,0.701111,0.004157,0.018889,0.001571
deepseek-r1-qwen,7B,16-bit,os,0.55787,0.008661,0.106481,0.003274,0.0,0.0,0.18287,0.003274,0.032407,0.003274,0.113426,0.003274
deepseek-r1-qwen,7B,16-bit,webshop,0.751667,0.043653,0.11,0.0,0.0,0.0,0.0,0.0,0.003333,0.002357,0.12,0.042622
deepseek-r1-qwen,7B,4-bit,alfworld,0.275229,0.0,0.559633,0.0,0.119266,0.0,0.0,0.0,0.0,0.0,0.045872,0.0
deepseek-r1-qwen,7B,4-bit,dbbench,0.19,0.009813,0.003333,0.0,0.0,0.0,0.0,0.0,0.692222,0.010999,0.013333,0.002722
deepseek-r1-qwen,7B,4-bit,os,0.715278,0.00567,0.055556,0.0,0.0,0.0,0.141204,0.003274,0.013889,0.0,0.074074,0.003274
deepseek-r1-qwen,7B,4-bit,webshop,0.776667,0.027183,0.14,0.021602,0.0,0.0,0.0,0.0,0.0,0.0,0.073333,0.008498
deepseek-r1-qwen,7B,8-bit,alfworld,0.091743,0.0,0.862385,0.0,0.018349,0.0,0.0,0.0,0.0,0.0,0.027523,0.0
deepseek-r1-qwen,7B,8-bit,dbbench,0.136667,0.005443,0.002222,0.001571,0.0,0.0,0.0,0.0,0.727778,0.004157,0.013333,0.0
deepseek-r1-qwen,7B,8-bit,os,0.631944,0.00567,0.094907,0.003274,0.0,0.0,0.1875,0.00567,0.011574,0.003274,0.069444,0.00567
deepseek-r1-qwen,7B,8-bit,webshop,0.843333,0.014337,0.071667,0.002357,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01633
ministral3,3B,16-bit,alfworld,0.055046,0.0,0.06422,0.0,0.844037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministral3,3B,16-bit,dbbench,0.006667,0.0,0.598889,0.003143,0.0,0.0,0.0,0.0,0.26,0.0,0.023333,0.002722
ministral3,3B,16-bit,os,0.087963,0.011803,0.837963,0.016368,0.0,0.0,0.009259,0.003274,0.006944,0.0,0.05787,0.031229
ministral3,3B,16-bit,webshop,0.0,0.0,0.491667,0.026562,0.0,0.0,0.0,0.0,0.003333,0.002357,0.018333,0.006236
ministral3,3B,4-bit,alfworld,0.045872,0.0,0.018349,0.0,0.926606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministral3,3B,4-bit,dbbench,0.0,0.0,0.841111,0.001571,0.0,0.0,0.0,0.0,0.07,0.0,0.028889,0.001571
ministral3,3B,4-bit,os,0.282407,0.008661,0.689815,0.014269,0.0,0.0,0.002315,0.003274,0.002315,0.003274,0.023148,0.011803
ministral3,3B,4-bit,webshop,0.0,0.0,0.203333,0.002357,0.0,0.0,0.0,0.0,0.001667,0.002357,0.001667,0.002357
ministral3,3B,8-bit,alfworld,0.036697,0.0,0.027523,0.0,0.908257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministral3,3B,8-bit,dbbench,0.0,0.0,0.61,0.002722,0.0,0.0,0.0,0.0,0.267778,0.001571,0.012222,0.003143
ministral3,3B,8-bit,os,0.152778,0.015002,0.768519,0.011803,0.0,0.0,0.032407,0.003274,0.006944,0.0,0.039352,0.022915
ministral3,3B,8-bit,webshop,0.0,0.0,0.428333,0.002357,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.002357
ministral3,8B,16-bit,alfworld,0.045872,0.0,0.018349,0.0,0.926606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministral3,8B,16-bit,dbbench,0.02,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.353333,0.0,0.0,0.0
ministral3,8B,16-bit,os,0.289352,0.028539,0.069444,0.0,0.0,0.0,0.087963,0.006547,0.393519,0.011803,0.050926,0.031229
ministral3,8B,16-bit,webshop,0.038333,0.006236,0.14,0.008165,0.0,0.0,0.0,0.0,0.033333,0.009428,0.0,0.0
ministral3,8B,4-bit,alfworld,0.073394,0.0,0.018349,0.0,0.880734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministral3,8B,4-bit,dbbench,0.013333,0.0,0.406667,0.007201,0.0,0.0,0.0,0.0,0.373333,0.0,0.0,0.0
ministral3,8B,4-bit,os,0.296296,0.026796,0.071759,0.003274,0.0,0.0,0.081019,0.011803,0.377315,0.018227,0.041667,0.024715
ministral3,8B,4-bit,webshop,0.016667,0.006236,0.133333,0.020548,0.0,0.0,0.0,0.0,0.031667,0.002357,0.0,0.0
ministral3,8B,8-bit,alfworld,0.036697,0.0,0.018349,0.0,0.926606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministral3,8B,8-bit,dbbench,0.02,0.0,0.398889,0.008315,0.0,0.0,0.0,0.0,0.346667,0.0,0.0,0.0
ministral3,8B,8-bit,os,0.310185,0.03601,0.069444,0.015002,0.0,0.0,0.083333,0.00567,0.368056,0.03449,0.041667,0.024715
ministral3,8B,8-bit,webshop,0.065,0.010801,0.111667,0.012472,0.0,0.0,0.0,0.0,0.035,0.008165,0.0,0.0
qwen3,4B,16-bit,alfworld,0.504587,0.0,0.073394,0.0,0.272171,0.004325,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,4B,16-bit,dbbench,0.06,0.004714,0.004444,0.001571,0.0,0.0,0.0,0.0,0.466667,0.002722,0.001111,0.001571
qwen3,4B,16-bit,os,0.131944,0.0,0.048611,0.009821,0.0,0.0,0.016204,0.003274,0.421296,0.003274,0.020833,0.009821
qwen3,4B,16-bit,webshop,0.173333,0.014337,0.041667,0.011785,0.0,0.0,0.0,0.0,0.023333,0.006236,0.006667,0.002357
qwen3,4B,4-bit,alfworld,0.486239,0.0,0.155963,0.0,0.183486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,4B,4-bit,dbbench,0.095556,0.001571,0.006667,0.0,0.0,0.0,0.0,0.0,0.428889,0.001571,0.004444,0.003143
qwen3,4B,4-bit,os,0.083333,0.01134,0.0625,0.01134,0.0,0.0,0.027778,0.0,0.439815,0.023607,0.027778,0.00567
qwen3,4B,4-bit,webshop,0.201667,0.006236,0.038333,0.008498,0.0,0.0,0.0,0.0,0.026667,0.004714,0.023333,0.012472
qwen3,4B,8-bit,alfworld,0.53211,0.0,0.073394,0.0,0.256881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,4B,8-bit,dbbench,0.074444,0.005666,0.006667,0.0,0.0,0.0,0.0,0.0,0.446667,0.007201,0.001111,0.001571
qwen3,4B,8-bit,os,0.122685,0.023607,0.034722,0.015002,0.0,0.0,0.034722,0.00567,0.421296,0.006547,0.013889,0.0
qwen3,4B,8-bit,webshop,0.16,0.021602,0.041667,0.010274,0.0,0.0,0.0,0.0,0.026667,0.006236,0.013333,0.008498
qwen3,8B,16-bit,alfworld,0.055046,0.0,0.0,0.0,0.917431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,8B,16-bit,dbbench,0.07,0.0,0.235556,0.003143,0.0,0.0,0.0,0.0,0.383333,0.0,0.0,0.0
qwen3,8B,16-bit,os,0.196759,0.003274,0.048611,0.0,0.0,0.0,0.030093,0.003274,0.384259,0.006547,0.050926,0.003274
qwen3,8B,16-bit,webshop,0.083333,0.004714,0.668333,0.008498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,8B,4-bit,alfworld,0.073394,0.0,0.0,0.0,0.917431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,8B,4-bit,dbbench,0.068889,0.004157,0.194444,0.004157,0.0,0.0,0.0,0.0,0.433333,0.0,0.002222,0.003143
qwen3,8B,4-bit,os,0.210648,0.003274,0.085648,0.011803,0.0,0.0,0.027778,0.01134,0.347222,0.00567,0.034722,0.0
qwen3,8B,4-bit,webshop,0.206667,0.019293,0.645,0.008165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,8B,8-bit,alfworld,0.110092,0.0,0.0,0.0,0.862385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3,8B,8-bit,dbbench,0.056667,0.0,0.255556,0.001571,0.0,0.0,0.0,0.0,0.383333,0.0,0.0,0.0
qwen3,8B,8-bit,os,0.208333,0.01134,0.030093,0.008661,0.0,0.0,0.016204,0.003274,0.421296,0.003274,0.034722,0.0
qwen3,8B,8-bit,webshop,0.098333,0.008498,0.685,0.038944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
