model,size,quant,domain,energy_per_task_mean,energy_per_task_std,energy_per_success_mean,energy_per_success_std,energy_per_action_mean,energy_per_action_std,gpu_mem_mean,gpu_mem_std,gpu_energy_mean,gpu_energy_std,cpu_energy_mean,cpu_energy_std,energy_mean,energy_std
deepseek-r1-qwen,1.5B,16-bit,alfworld,4276.932577,59.279323,,,0.0,0.0,5713.882499,191.503347,324198.584667,214.98086,141987.066258,6554.416099,466185.650924,6461.446253
deepseek-r1-qwen,1.5B,16-bit,dbbench,7613.664598,40.420831,1142049.689688,6063.124628,8554.679324,45.416664,5582.588062,7.961194,1632047.803333,16745.115946,652051.576042,7877.541535,2284099.379375,12126.249256
deepseek-r1-qwen,1.5B,16-bit,os,20257.038441,139.580375,,,2917013.53555,20099.574071,5591.325208,74.405555,2086622.2635,26290.800812,830391.27205,9597.603996,2917013.53555,20099.574071
deepseek-r1-qwen,1.5B,16-bit,webshop,4968.008155,117.486053,,,0.0,0.0,5572.320729,10.948393,703804.456,16912.104939,289797.17491,8271.097304,993601.63091,23497.210608
deepseek-r1-qwen,1.5B,4-bit,alfworld,7223.009113,104.320347,,,0.0,0.0,3475.529326,12.221719,529897.024333,9401.038048,257410.96898,2802.563666,787307.993313,11370.917863
deepseek-r1-qwen,1.5B,4-bit,dbbench,4890.918037,120.090284,209610.773002,5146.726459,4424.274877,120.449038,3479.502871,13.043501,987348.958,26457.481568,479926.453012,9581.977074,1467275.411012,36027.08521
deepseek-r1-qwen,1.5B,4-bit,os,9437.993708,21.414433,,,1359071.093972,3083.678418,3668.038774,165.422687,914375.8115,2572.382761,444695.282472,2291.893368,1359071.093972,3083.678418
deepseek-r1-qwen,1.5B,4-bit,webshop,4412.282976,211.305964,,,0.0,0.0,3479.054132,15.278512,585158.083167,26754.682893,297298.512023,15555.932071,882456.59519,42261.192881
deepseek-r1-qwen,1.5B,8-bit,alfworld,7661.292454,67.031429,,,0.0,0.0,4105.835896,12.125455,574522.2665,5235.028945,260558.611001,5876.733497,835080.877501,7306.425719
deepseek-r1-qwen,1.5B,8-bit,dbbench,4289.719427,42.126878,643457.914032,6319.03173,4484.027275,44.035064,4111.242086,8.099712,883983.570167,10736.296626,402932.257898,5939.609357,1286915.828065,12638.063461
deepseek-r1-qwen,1.5B,8-bit,os,20073.549782,220.213099,,,2890591.168633,31710.686185,4122.499216,77.462321,1972602.048333,27051.035966,917989.1203,8198.595713,2890591.168633,31710.686185
deepseek-r1-qwen,1.5B,8-bit,webshop,4101.750394,144.108516,,,0.0,0.0,4110.868659,16.323606,552915.582167,21128.652173,267434.496575,8130.062313,820350.078742,28821.703221
deepseek-r1-qwen,7B,16-bit,alfworld,4813.18802,14.006593,,,3593.407495,10.456977,17148.705863,179.32741,415821.348333,615.211934,108816.145873,1728.832201,524637.494206,1526.718635
deepseek-r1-qwen,7B,16-bit,dbbench,3966.8708,122.572373,32163.817293,993.830048,1858.640682,60.897558,17043.538946,7.306811,954741.028,29453.479689,235320.211859,8983.202845,1190061.239859,36771.711788
deepseek-r1-qwen,7B,16-bit,os,12323.17894,346.039972,1774537.76741,49829.755934,6562.996971,322.036388,17011.497147,40.574237,1433380.478333,35198.724705,341157.289076,14645.276174,1774537.76741,49829.755934
deepseek-r1-qwen,7B,16-bit,webshop,22157.901254,3002.708896,1594692.049212,447053.858626,6756.380957,1228.474739,17034.141693,7.973848,3636109.499667,494536.330198,795470.751075,106023.093773,4431580.250742,600541.779266
deepseek-r1-qwen,7B,4-bit,alfworld,6758.199458,65.828878,,,2602.981417,25.354586,7773.758358,188.17911,553158.984167,720.138873,183484.756808,7495.052034,736643.740974,7175.347698
deepseek-r1-qwen,7B,4-bit,dbbench,2605.417835,109.999766,25770.30169,1083.754978,1238.249325,67.301915,7642.087697,9.355286,580425.310667,19381.729698,201200.039809,14401.693705,781625.350476,32999.929944
deepseek-r1-qwen,7B,4-bit,os,8085.953374,242.64589,,,3809.888553,200.495829,7648.980391,75.450023,872821.813167,32252.108434,291555.472688,5420.565888,1164377.285855,34941.008219
